source_id,asset_tag,legacy_alias,asset_type,parent_system,location,normal_service,instrument_tag,revision_date,controlling_status,known_issue,corrected_tag,notes
AS-001,CWP-3,CWP-03; P-203; CW-P3,horizontal split-case condenser-water pump,North Utilities condenser-water loop,North pump gallery bay 3,primary lag/lead condenser-water pump,PI-CWP3-S; PI-CWP3-D; FT-CWP3,2026-05-01,current,Legacy CMMS exports still show CWP-03 and P-203.,CWP-3,"Use CWP-3 for pump body, casing, impeller, and seal records."
AS-002,M-CWP-3,MCWP-3; MTR-203; M-CW3,460 V induction motor,CWP-3 pump train,North pump gallery bay 3,drive motor for CWP-3,AMPS-MCWP3; TT-MCWP3-DE,2026-05-01,current,Alignment work orders sometimes record only motor tag even when the coupling and pump train were in scope.,M-CWP-3,Motor-only electrical readings must not be used to close pump/coupling alignment.
AS-003,CPL-CWP-3,CPL-203; L-110 coupling; orange spider,jaw coupling with elastomer spider,CWP-3 pump train,between CWP-3 and M-CWP-3,torque transmission,none,2026-05-01,current,Coupling spider replacement does not validate laser alignment.,CPL-CWP-3,"Use for WO records involving spider replacement, coupling dust, or guard drain mist."
AS-004,STR-CWP-3,STR-203; CWP3 basket; Y-strainer bay 3,duplex suction strainer basket,CWP-3 suction piping,2 m upstream of pump suction flange,strainer ahead of CWP-3,DPT-CWP3-STR; PI-CWP3-SU; PI-CWP3-SD,2026-05-10,current,Differential taps were not installed until 2026-05-10 14:30.,STR-CWP-3,Do not invent strainer differential before both upstream and downstream pressure taps are available.
AS-005,FT-CWP3,FT-203; CW-FLOW-3; BAS point AI-4217,magnetic flow transmitter,condenser-water header,discharge header downstream of check valve,CWP-3 flow indication,FT-CWP3,2026-05-15,current,Loop card was 4-20 mA = 0-1500 gpm; BAS point used 0-2000 gpm until 2026-05-15 10:05.,FT-CWP3,Pre-2026-05-15 BAS flow values need scaling cross-check against loop sheet and ultrasonic field meter.
AS-006,TT-CWP3-DE,TT-CT2FAN-DE display label; BAS temp AI-4209,Pt100 bearing temperature point,CWP-3 drive-end bearing housing,CWP-3 drive-end bearing housing,pump drive-end bearing temperature,TT-CWP3-DE,2026-05-12,current,BAS display label incorrectly showed CT-2 fan DE bearing from 2026-05-07 through 2026-05-12.,TT-CWP3-DE,"High temperature belongs to CWP-3 drive-end bearing, not GB-CT2."
AS-007,CT-2,Tower cell 2; CT02; condenser tower B cell,induced-draft cooling tower cell,North Utilities cooling tower,roof tower line cell 2,heat rejection for condenser-water loop,TT-CT2-S; LT-CT2-BASIN,2026-05-01,current,Tower approach can contribute to high condenser-water temperature but does not explain pump 1x vibration.,CT-2,"Use for basin, fill, spray, approach, and drift eliminator records."
AS-008,GB-CT2,CT2 gearbox; CT-2 fan drive; GB-204,right-angle fan gearbox,CT-2 fan assembly,CT-2 fan deck,fan speed reduction gearbox,TT-GBCT2-OIL; VIB-GBCT2,2026-05-01,current,Operator notes sometimes call TT-CWP3-DE a tower fan bearing because of the BAS label error.,GB-CT2,Gearbox vibration and oil evidence must be evaluated separately from CWP-3 bearing temperature.
AS-009,BV-204,tower bypass valve; BV-CT2; mod valve 204,pneumatic butterfly bypass valve,condenser-water bypass line,tower bypass header downstream of CWP discharge,maintain condenser-water temperature and bypass during low load,AO-BV204; ZT-BV204,2026-05-01,current,"BAS trend records valve position, but no stem travel calibration is attached in this package.",BV-204,Use BAS command/feedback only as trend evidence unless mechanical stroke verification is present.
AS-010,SFP-CWP3,seal flush panel; flush station 3; SFP-203,local seal-flush panel with filter and pressure gauge,CWP-3 mechanical seal flush,north wall behind CWP-3,seal flush supply to CWP-3 inboard seal,PI-SFP-CWP3; FI-SFP-CWP3,2026-05-10,current,Local flush gauge PI-SFP-CWP3 installed only on 2026-05-10 16:20.,SFP-CWP3,Seal-flush adequacy before 2026-05-10 16:20 is unresolved unless a temporary gauge reading exists.
AS-011,V-CWP3-SUC,suction isolation valve; HV-203-S,butterfly isolation valve,CWP-3 suction piping,upstream of STR-CWP-3,normally open,none,2026-05-01,current,Operator rounds noted handle checked open by sight; no travel verification.,V-CWP3-SUC,Cannot explain low flow unless valve travel obstruction is measured.
AS-012,V-CWP3-DIS,discharge isolation valve; HV-203-D,butterfly isolation valve,CWP-3 discharge piping,downstream of check valve,normally open,none,2026-05-01,current,No closed-position conflict in evidence window.,V-CWP3-DIS,Included for tag cross-reference and valve lockout notes.
AS-013,PI-CWP3-S,PI-203-S; suction pressure gauge,pressure gauge/transmitter,CWP-3 suction line,pump suction tap,suction pressure measurement,PI-CWP3-S,2026-05-01,current,Suction pressure in BAS is verified against field gauge on 2026-05-13.,PI-CWP3-S,Used with discharge pressure for TDH calculation.
AS-014,PI-CWP3-D,PI-203-D; discharge pressure gauge,pressure gauge/transmitter,CWP-3 discharge line,pump discharge tap,discharge pressure measurement,PI-CWP3-D,2026-05-01,current,Elevation correction is +3.0 ft from suction gauge to discharge gauge centerline.,PI-CWP3-D,TDH calculation must apply elevation correction where provided.
AS-015,DPT-CWP3-STR,temporary strainer DP; DPT-203,temporary differential pressure setup,STR-CWP-3,across suction strainer upstream/downstream taps,temporary diagnostic only,DPT-CWP3-STR,2026-05-10,temporary,Installed after several early low-flow alarms.,DPT-CWP3-STR,Records before 2026-05-10 14:30 must say no measured strainer differential.
AS-016,CH-1,Chiller 1,centrifugal chiller,North process cooling,chiller room bay 1,cooling load served by condenser-water loop,CH1-TRIP; TT-CH1-COND,2026-05-01,context,Two trip records occur during CWP-3 low-flow alarms.,CH-1,"Chiller trip is an impact indicator, not a pump failure mode by itself."
AS-017,CH-2,Chiller 2,centrifugal chiller,North process cooling,chiller room bay 2,parallel cooling load,CH2-TRIP; TT-CH2-COND,2026-05-01,context,No trip attributed to CH-2 during evidence window.,CH-2,Used as comparator for condenser-water loop impact.
AS-018,CT-2-SCREEN,basin screen; tower trash screen,stainless basin screen,CT-2 basin,CT-2 cold-water basin outlet,debris protection,none,2026-05-01,current,Basin screen debris can increase suction strainer loading downstream.,CT-2-SCREEN,Correlate basin debris with STR-CWP-3 debris rather than assuming pump internal failure.
AS-019,FT-ULTRA-RENTAL,rental ultrasonic meter,clamp-on ultrasonic flow meter,temporary diagnostic,CWP-3 discharge spool,temporary flow verification,FT-ULTRA-RENTAL,2026-05-12,temporary,Used to check FT-CWP3 scaling before BAS correction.,FT-ULTRA-RENTAL,Valid records require strap spacing note and technician initials.
AS-020,PANEL-BAS-NU,BAS panel north utilities,building automation panel,North Utilities controls,electrical room NU-1,trend logging,BAS-AI-4200 series,2026-05-01,context,BAS point labels and scaling lagged field corrections for FT-CWP3 and TT-CWP3-DE.,PANEL-BAS-NU,BAS trends are usable after tag and scaling reconciliation.
